ruta,clase,split
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/4670aaf3fe.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/dca954140f.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/36fc192d91.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/5c464e9200.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/bdbc157218.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/8e31b7ddd1.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/aa5dde321b.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/f656342628.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/c140d5f842.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/bc6abc8183.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/5fa4386d24.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/30e2a5aa0d.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/fe934c3b6a.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/1941085305.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/be20ceeb42.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/221b58a248.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/ae231f91ac.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/88f69465c2.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/e7d4b5c79d.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/9b1422b103.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/e98efbcd30.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/5cae90c033.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/f92420698b.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/c2e30c0981.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/40b7d6a34c.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/1892641ec2.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/ff29987785.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/1e70fb6fb0.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/326ff97053.jpg,carton,train
/content/drive/MyDrive/project_factoria/waste_classifier/datasets/unified/train/carton/de579397e5.jpg,carton,train
